Alignment not found |  ,  | Line no.  1
Alignment not found |  ;  | Line no.  525
Alignment not found |  ,  | Line no.  526
Alignment not found |  of  | Line no.  526
Alignment not found |  the  | Line no.  526
Alignment not found |  ,  | Line no.  526
Alignment not found |  ;  | Line no.  526
Alignment not found |  ,  | Line no.  527
Alignment not found |  ;  | Line no.  527
Alignment not found |  ,  | Line no.  528
Alignment not found |  ;  | Line no.  528
Alignment not found |  ,  | Line no.  529
Alignment not found |  ;  | Line no.  529
Alignment not found |  ,  | Line no.  530
Alignment not found |  ;  | Line no.  531
Alignment not found |  eše3  | Line no.  532
Alignment not found |  ,  | Line no.  532
Alignment not found |  ;  | Line no.  533
Alignment not found |  ;  | Line no.  534
Alignment not found |  eše3  | Line no.  535
Alignment not found |  ,  | Line no.  535
Alignment not found |  ;  | Line no.  536
Alignment not found |  ;  | Line no.  537
Alignment not found |  ,  | Line no.  538
Alignment not found |  at  | Line no.  539
Alignment not found |  ,  | Line no.  539
Alignment not found |  eše3  | Line no.  540
Alignment not found |  ,  | Line no.  540
Alignment not found |  ;  | Line no.  541
Alignment not found |  ;  | Line no.  542
Alignment not found |  at  | Line no.  543
Alignment not found |  ,  | Line no.  543
Alignment not found |  ,  | Line no.  544
Alignment not found |  ,  | Line no.  545
Alignment not found |  of  | Line no.  545
Alignment not found |  :  | Line no.  545
Alignment not found |  at  | Line no.  545
Alignment not found |  ,  | Line no.  545
Alignment not found |  ;  | Line no.  545
Alignment not found |  ;  | Line no.  546
Alignment not found |  ;  | Line no.  547
Alignment not found |  ,  | Line no.  548
Alignment not found |  ,  | Line no.  549
Alignment not found |  eše3  | Line no.  550
Alignment not found |  ,  | Line no.  550
Alignment not found |  ;  | Line no.  551
Alignment not found |  ;  | Line no.  552
Alignment not found |  ,  | Line no.  553
Alignment not found |  ,  | Line no.  554
Alignment not found |  ;  | Line no.  555
Alignment not found |  ;  | Line no.  556
Alignment not found |  eše3  | Line no.  557
Alignment not found |  ,  | Line no.  557
Alignment not found |  ;  | Line no.  558
Alignment not found |  ;  | Line no.  559
Alignment not found |  ,  | Line no.  560
Alignment not found |  eše3  | Line no.  561
Alignment not found |  ,  | Line no.  561
Alignment not found |  ,  | Line no.  562
Alignment not found |  ;  | Line no.  563
Alignment not found |  ;  | Line no.  564
Alignment not found |  ,  | Line no.  565
Alignment not found |  at  | Line no.  566
Alignment not found |  ,  | Line no.  566
Alignment not found |  ;  | Line no.  567
Alignment not found |  ;  | Line no.  568
Alignment not found |  Ur-gu  | Line no.  569
Alignment not found |  ’  | Line no.  569
Alignment not found |  edina  | Line no.  569
Alignment not found |  ,  | Line no.  569
Alignment not found |  ,  | Line no.  570
Alignment not found |  ;  | Line no.  571
Alignment not found |  ,  | Line no.  572
Alignment not found |  ;  | Line no.  572
Alignment not found |  eše3  | Line no.  573
Alignment not found |  ;  | Line no.  573
Alignment not found |  eše3  | Line no.  574
Alignment not found |  ;  | Line no.  574
Alignment not found |  at  | Line no.  575
Alignment not found |  ;  | Line no.  575
Alignment not found |  eše3  | Line no.  576
Alignment not found |  at  | Line no.  576
Alignment not found |  ;  | Line no.  576
Alignment not found |  ;  | Line no.  577
Alignment not found |  ,  | Line no.  578
Alignment not found |  of  | Line no.  578
Alignment not found |  the  | Line no.  578
Alignment not found |  ,  | Line no.  578
Alignment not found |  at  | Line no.  578
Alignment not found |  ;  | Line no.  578
Alignment not found |  ,  | Line no.  579
Alignment not found |  ;  | Line no.  579
Alignment not found |  ,  | Line no.  580
Alignment not found |  ;  | Line no.  580
Alignment not found |  ;  | Line no.  581
Alignment not found |  eše3  | Line no.  582
Alignment not found |  ,  | Line no.  582
Alignment not found |  gur  | Line no.  583
Alignment not found |  ;  | Line no.  584
Alignment not found |  ,  | Line no.  585
Alignment not found |  ,  | Line no.  586
Alignment not found |  gur  | Line no.  587
Alignment not found |  ,  | Line no.  589
Alignment not found |  ,  | Line no.  590
Alignment not found |  ;  | Line no.  591
Alignment not found |  ;  | Line no.  592
Alignment not found |  ,  | Line no.  593
Alignment not found |  ,  | Line no.  594
Alignment not found |  eše3  | Line no.  595
Alignment not found |  ,  | Line no.  595
Alignment not found |  ;  | Line no.  596
Alignment not found |  ;  | Line no.  597
Alignment not found |  eše3  | Line no.  598
Alignment not found |  ,  | Line no.  598
Alignment not found |  at  | Line no.  599
Alignment not found |  ,  | Line no.  599
Alignment not found |  3  | Line no.  600
Alignment not found |  ;  | Line no.  600
Alignment not found |  ;  | Line no.  601
Alignment not found |  ,  | Line no.  602
Alignment not found |  eše3  | Line no.  603
Alignment not found |  at  | Line no.  603
Alignment not found |  ,  | Line no.  603
Alignment not found |  ,  | Line no.  604
Alignment not found |  ;  | Line no.  605
Alignment not found |  ;  | Line no.  606
Alignment not found |  ,  | Line no.  607
Alignment not found |  ;  | Line no.  608
Alignment not found |  Pu  | Line no.  609
Alignment not found |  ’  | Line no.  609
Alignment not found |  a  | Line no.  609
Alignment not found |  ’  | Line no.  609
Alignment not found |  uz  | Line no.  609
Alignment not found |  ;  | Line no.  609
Alignment not found |  ,  | Line no.  610
Alignment not found |  at  | Line no.  611
Alignment not found |  ,  | Line no.  611
Alignment not found |  ,  | Line no.  612
Alignment not found |  ;  | Line no.  613
Alignment not found |  ;  | Line no.  614
Alignment not found |  ,  | Line no.  615
Alignment not found |  ;  | Line no.  616
Alignment not found |  ;  | Line no.  617
Alignment not found |  ,  | Line no.  618
Alignment not found |  ,  | Line no.  619
Alignment not found |  eše3  | Line no.  620
Alignment not found |  at  | Line no.  620
Alignment not found |  ,  | Line no.  620
Alignment not found |  ;  | Line no.  621
Alignment not found |  ;  | Line no.  622
Alignment not found |  ,  | Line no.  623
Alignment not found |  at  | Line no.  624
Alignment not found |  ,  | Line no.  624
Alignment not found |  3  | Line no.  625
Alignment not found |  ;  | Line no.  625
Alignment not found |  ;  | Line no.  626
Alignment not found |  ,  | Line no.  627
Alignment not found |  ,  | Line no.  628
Alignment not found |  ;  | Line no.  628
Alignment not found |  ,  | Line no.  629
Alignment not found |  ;  | Line no.  629
Alignment not found |  ,  | Line no.  630
Alignment not found |  ;  | Line no.  630
Alignment not found |  ,  | Line no.  631
Alignment not found |  ;  | Line no.  631
Alignment not found |  eše3  | Line no.  632
Alignment not found |  ,  | Line no.  632
Alignment not found |  eše3  | Line no.  633
Alignment not found |  ;  | Line no.  633
Alignment not found |  eše3  | Line no.  634
Alignment not found |  ;  | Line no.  634
Alignment not found |  at  | Line no.  635
Alignment not found |  ;  | Line no.  635
Alignment not found |  at  | Line no.  636
Alignment not found |  ;  | Line no.  636
Alignment not found |  ;  | Line no.  637
Alignment not found |  ;  | Line no.  638
Alignment not found |  ,  | Line no.  639
Alignment not found |  ;  | Line no.  639
Alignment not found |  ,  | Line no.  640
Alignment not found |  ;  | Line no.  641
Alignment not found |  ,  | Line no.  642
Alignment not found |  eše3  | Line no.  643
Alignment not found |  ,  | Line no.  643
Alignment not found |  ban2  | Line no.  644
Alignment not found |  ;  | Line no.  645
Alignment not found |  ,  | Line no.  646
Alignment not found |  ,  | Line no.  647
Alignment not found |  ;  | Line no.  648
Alignment not found |  ;  | Line no.  649
Alignment not found |  ,  | Line no.  650
Alignment not found |  ,  | Line no.  651
Alignment not found |  eše3  | Line no.  652
Alignment not found |  at  | Line no.  652
Alignment not found |  ,  | Line no.  652
Alignment not found |  ;  | Line no.  653
Alignment not found |  ;  | Line no.  654
Alignment not found |  ;  | Line no.  655
Alignment not found |  eše3  | Line no.  656
Alignment not found |  ,  | Line no.  656
Alignment not found |  ;  | Line no.  657
Alignment not found |  ;  | Line no.  658
Alignment not found |  ,  | Line no.  659
Alignment not found |  ,  | Line no.  659
Alignment not found |  ;  | Line no.  659
Alignment not found |  ,  | Line no.  660
Alignment not found |  eše3  | Line no.  661
Alignment not found |  ,  | Line no.  661
Alignment not found |  ;  | Line no.  662
Alignment not found |  ;  | Line no.  663
Alignment not found |  ,  | Line no.  664
Alignment not found |  ;  | Line no.  665
Alignment not found |  Pu  | Line no.  666
Alignment not found |  ’  | Line no.  666
Alignment not found |  a  | Line no.  666
Alignment not found |  ’  | Line no.  666
Alignment not found |  uz  | Line no.  666
Alignment not found |  ;  | Line no.  666
Alignment not found |  ;  | Line no.  667
Alignment not found |  ,  | Line no.  668
Alignment not found |  at  | Line no.  669
Alignment not found |  ,  | Line no.  669
Alignment not found |  ;  | Line no.  670
Alignment not found |  ;  | Line no.  671
Alignment not found |  eše3  | Line no.  672
Alignment not found |  ,  | Line no.  672
Alignment not found |  ;  | Line no.  673
Alignment not found |  ;  | Line no.  674
Alignment not found |  ,  | Line no.  675
Alignment not found |  eše3  | Line no.  676
Alignment not found |  ,  | Line no.  676
Alignment not found |  ,  | Line no.  677
Alignment not found |  ;  | Line no.  678
Alignment not found |  ;  | Line no.  679
Alignment not found |  ,  | Line no.  680
Alignment not found |  ;  | Line no.  681
Alignment not found |  ;  | Line no.  682
Alignment not found |  eše3  | Line no.  683
Alignment not found |  ,  | Line no.  683
Alignment not found |  ;  | Line no.  684
Alignment not found |  ;  | Line no.  685
Alignment not found |  ,  | Line no.  686
Alignment not found |  ,  | Line no.  687
Alignment not found |  ;  | Line no.  688
Alignment not found |  eše3  | Line no.  689
Alignment not found |  ;  | Line no.  689
Alignment not found |  ;  | Line no.  690
Alignment not found |  eše3  | Line no.  691
Alignment not found |  ;  | Line no.  691
Alignment not found |  at  | Line no.  692
Alignment not found |  ;  | Line no.  692
Alignment not found |  ;  | Line no.  693
Alignment not found |  ,  | Line no.  694
Alignment not found |  ban2  | Line no.  694
Alignment not found |  ,  | Line no.  695
Alignment not found |  ;  | Line no.  695
Alignment not found |  ;  | Line no.  696
Alignment not found |  eše3  | Line no.  697
Alignment not found |  ,  | Line no.  697
Alignment not found |  at  | Line no.  698
Alignment not found |  ,  | Line no.  698
Alignment not found |  ;  | Line no.  699
Alignment not found |  ;  | Line no.  700
Alignment not found |  ,  | Line no.  701
Alignment not found |  at  | Line no.  702
Alignment not found |  ,  | Line no.  702
Alignment not found |  ;  | Line no.  703
Alignment not found |  ;  | Line no.  704
Alignment not found |  eše3  | Line no.  705
Alignment not found |  ,  | Line no.  705
Alignment not found |  ;  | Line no.  706
Alignment not found |  ;  | Line no.  707
Alignment not found |  ,  | Line no.  708
Alignment not found |  ,  | Line no.  709
Alignment not found |  at  | Line no.  710
Alignment not found |  ,  | Line no.  710
Alignment not found |  ;  | Line no.  711
Alignment not found |  ;  | Line no.  712
Alignment not found |  eše3  | Line no.  713
Alignment not found |  ,  | Line no.  713
Alignment not found |  at  | Line no.  714
Alignment not found |  ,  | Line no.  714
Alignment not found |  ;  | Line no.  715
Alignment not found |  ;  | Line no.  716
Alignment not found |  ,  | Line no.  717
Alignment not found |  ,  | Line no.  718
Alignment not found |  eše3  | Line no.  719
Alignment not found |  ,  | Line no.  719
Alignment not found |  ;  | Line no.  720
Alignment not found |  ;  | Line no.  721
Alignment not found |  ,  | Line no.  722
Alignment not found |  ,  | Line no.  723
Alignment not found |  ;  | Line no.  724
Alignment not found |  ,  | Line no.  726
Alignment not found |  at  | Line no.  727
Alignment not found |  ,  | Line no.  727
Alignment not found |  ;  | Line no.  728
Alignment not found |  ;  | Line no.  729
Alignment not found |  ,  | Line no.  730
Alignment not found |  at  | Line no.  731
Alignment not found |  ,  | Line no.  731
Alignment not found |  3  | Line no.  732
Alignment not found |  ;  | Line no.  732
Alignment not found |  of  | Line no.  733
Alignment not found |  ;  | Line no.  733
Alignment not found |  ,  | Line no.  734
Alignment not found |  ,  | Line no.  735
Alignment not found |  eše3  | Line no.  736
Alignment not found |  ;  | Line no.  736
Alignment not found |  ;  | Line no.  737
Alignment not found |  eše3  | Line no.  738
Alignment not found |  ;  | Line no.  738
Alignment not found |  at  | Line no.  739
Alignment not found |  ;  | Line no.  739
Alignment not found |  at  | Line no.  740
Alignment not found |  ;  | Line no.  740
Alignment not found |  ,  | Line no.  741
Alignment not found |  ;  | Line no.  741
Alignment not found |  ,  | Line no.  742
Alignment not found |  ;  | Line no.  742
Alignment not found |  ,  | Line no.  743
Alignment not found |  Ur-Šulpa  | Line no.  744
Alignment not found |  ’  | Line no.  744
